symbol,open,close,change_in_price,prediction,model_accuracy,reward
AAPL,79.6449966430664,79.42500305175781,0.282501220703125,1.0,71.8213058419244,0.04785781077471096
AAPL,79.4800033569336,79.80750274658203,0.38249969482421875,1.0,71.8213058419244,0.03100476682532438
AAPL,80.0625,79.57749938964844,-0.23000335693359375,-1.0,71.8213058419244,0.02571459843269075
AAPL,77.51499938964844,77.23750305175781,-2.339996337890625,-1.0,71.8213058419244,-0.025271262821768836
AAPL,78.1500015258789,79.42250061035156,2.18499755859375,1.0,71.8213058419244,0.016022802491299393
AAPL,81.11250305175781,81.08499908447266,1.6624984741210938,1.0,71.8213058419244,0.04175499503087088
AAPL,80.13500213623047,80.96749877929688,-0.11750030517578125,-1.0,71.8213058419244,0.027375983854067032
AAPL,80.23249816894531,77.37750244140625,-3.589996337890625,-1.0,71.8213058419244,-0.028927308075481495
AAPL,76.07499694824219,77.16500091552734,-0.21250152587890625,-1.0,71.8213058419244,-0.024986585839157693
AAPL,78.82749938964844,79.7125015258789,2.5475006103515625,1.0,71.8213058419244,0.003619747725206235
AAPL,80.87999725341797,80.36250305175781,0.6500015258789062,1.0,71.8213058419244,0.006954237209227276
AAPL,80.64250183105469,81.30249786376953,0.9399948120117188,1.0,71.8213058419244,0.021676962550364776
AAPL,80.59249877929688,80.00749969482422,-1.2949981689453125,-1.0,71.8213058419244,0.035863363439004425
AAPL,78.54499816894531,80.38749694824219,0.37999725341796875,1.0,71.8213058419244,0.012150163120963953
AAPL,80.9000015258789,79.90249633789062,-0.4850006103515625,-1.0,71.8213058419244,-0.014583495836882565
AAPL,80.36750030517578,81.80000305175781,1.8975067138671875,1.0,71.8213058419244,0.01028195615539751
AAPL,81.04750061035156,81.21749877929688,-0.5825042724609375,-1.0,71.8213058419244,0.049626780611049526
AAPL,81.18499755859375,81.23750305175781,0.0200042724609375,1.0,71.8213058419244,0.052776544909118206
AAPL,78.83999633789062,79.75,-1.4875030517578125,-1.0,71.8213058419244,0.0004704214947879315
AAPL,80.0,80.90499877929688,1.154998779296875,1.0,71.8213058419244,0.006750607645827911
AAPL,80.65750122070312,80.07499694824219,-0.8300018310546875,-1.0,71.8213058419244,-0.01509794837526568
AAPL,79.65499877929688,78.26249694824219,-1.8125,-1.0,71.8213058419244,-0.021810489682068113
AAPL,74.31500244140625,74.54499816894531,-3.717498779296875,-1.0,71.8213058419244,-0.07267919765008468
AAPL,75.23750305175781,72.0199966430664,-2.5250015258789062,-1.0,71.8213058419244,-0.09865148219513453
AAPL,71.63249969482422,73.1624984741211,1.1425018310546875,1.0,71.8213058419244,-0.10559296155736642
AAPL,70.2750015258789,68.37999725341797,-4.782501220703125,-1.0,71.8213058419244,-0.15806324645337777
AAPL,64.31500244140625,68.33999633789062,-0.04000091552734375,-1.0,71.8213058419244,-0.15876296327879458
AAPL,70.56999969482422,74.70249938964844,6.3625030517578125,1.0,71.8213058419244,-0.0632915437034679
AAPL,75.9175033569336,72.33000183105469,-2.37249755859375,-1.0,71.8213058419244,-0.10598846891567448
AAPL,74.11000061035156,75.68499755859375,3.3549957275390625,1.0,71.8213058419244,-0.05482359733945397
AAPL,73.87999725341797,73.2300033569336,-2.4549942016601562,-1.0,71.8213058419244,-0.06430274764472133
AAPL,70.5,72.25749969482422,-0.972503662109375,-1.0,71.8213058419244,-0.030686143005018485
AAPL,65.9375,66.5425033569336,-5.714996337890625,-1.0,71.8213058419244,-0.07605517274986084
AAPL,69.28500366210938,71.33499908447266,4.7924957275390625,1.0,71.8213058419244,-0.0249786356092645
AAPL,69.34750366210938,68.85749816894531,-2.4775009155273438,-1.0,71.8213058419244,0.006983049644733397
AAPL,63.98500061035156,62.057498931884766,-6.799999237060547,-1.0,71.8213058419244,-0.09193002257336347
AAPL,66.22250366210938,69.49250030517578,7.435001373291016,1.0,71.8213058419244,-0.06974330346428281
AAPL,60.48749923706055,60.5525016784668,-8.939998626708984,-1.0,71.8213058419244,-0.16283008232320073
AAPL,61.87749862670898,63.21500015258789,2.6624984741210938,1.0,71.8213058419244,-0.16476181288572878
AAPL,59.942501068115234,61.66749954223633,-1.5475006103515625,-1.0,71.8213058419244,-0.15789298490592651
AAPL,61.84749984741211,61.19499969482422,-0.4724998474121094,-1.0,71.8213058419244,-0.15309829494131255
AAPL,61.79499816894531,57.310001373291016,-3.884998321533203,-1.0,71.8213058419244,-0.13874593707602934
AAPL,57.02000045776367,56.09249877929688,-1.2175025939941335,-1.0,71.8213058419244,-0.21367492115793096
AAPL,59.09000015258789,61.720001220703125,5.627502441406243,1.0,71.8213058419244,-0.10365605980528048
AAPL,62.6875,61.380001068115234,-0.3400001525878906,-1.0,71.8213058419244,-0.010917260209167723
AAPL,61.630001068115234,64.61000061035156,3.229999542236328,1.0,71.8213058419244,-0.07025937580865216
AAPL,63.1875,61.935001373291016,-2.674999237060547,-1.0,71.8213058419244,0.022831421601130275
AAPL,62.685001373291016,63.70249938964844,1.7674980163574219,1.0,71.8213058419244,0.00771176518047656
AAPL,63.900001525878906,63.5724983215332,-0.13000106811523438,-1.0,71.8213058419244,0.030891454873926527
AAPL,61.625,60.227500915527344,-3.3449974060058594,-1.0,71.8213058419244,-0.015810095336575403
AAPL,60.084999084472656,61.23249816894531,1.0049972534179688,1.0,71.8213058419244,0.06844349505603664
AAPL,60.70000076293945,60.352500915527344,-0.8799972534179688,-1.0,71.8213058419244,0.07594602181999388
AAPL,62.72499847412109,65.61750030517578,5.2649993896484375,1.0,71.8213058419244,0.06314807205747908
