close,datetime,high,low,open,symbol,volume
161.6999969482422,2022-01-03,162.63999938964844,159.50999450683594,159.86000061035156,JPM,13120900.0
167.8300018310547,2022-01-04,168.5800018310547,164.22999572753906,164.30999755859375,JPM,20195800.0
163.77999877929688,2022-01-05,168.36000061035156,163.72999572753906,167.82000732421875,JPM,17539400.0
165.52000427246094,2022-01-06,167.3699951171875,163.8699951171875,166.91000366210938,JPM,14047500.0
167.16000366210938,2022-01-07,167.52999877929688,165.05999755859375,165.6699981689453,JPM,13913300.0
167.32000732421875,2022-01-10,169.30999755859375,165.52999877929688,169.07000732421875,JPM,12922500.0
167.49000549316406,2022-01-11,168.52000427246094,166.30999755859375,168.25999450683594,JPM,11854100.0
168.44000244140625,2022-01-12,169.58999633789062,167.17999267578125,168.4600067138672,JPM,12568000.0
168.22999572753906,2022-01-13,169.80999755859375,167.88999938964844,168.33999633789062,JPM,13623400.0
157.88999938964844,2022-01-14,161.02999877929688,156.89999389648438,160.75999450683594,JPM,40158400.0
151.27000427246094,2022-01-18,155.77999877929688,150.5399932861328,155.77999877929688,JPM,32324800.0
148.92999267578125,2022-01-19,152.22999572753906,148.5500030517578,151.57000732421875,JPM,22380000.0
147.66000366210938,2022-01-20,150.61000061035156,147.36000061035156,148.99000549316406,JPM,14860800.0
145.0800018310547,2022-01-21,147.50999450683594,144.27000427246094,147.5,JPM,20705400.0
144.9499969482422,2022-01-24,145.47999572753906,139.57000732421875,142.27999877929688,JPM,28471400.0
146.52999877929688,2022-01-25,146.85000610351562,140.7899932861328,143.64999389648438,JPM,18915900.0
147.9199981689453,2022-01-26,150.57000732421875,145.9600067138672,148.72000122070312,JPM,20709100.0
145.30999755859375,2022-01-27,150.3800048828125,144.1300048828125,149.4199981689453,JPM,17536800.0
146.61000061035156,2022-01-28,146.75999450683594,142.1699981689453,144.19000244140625,JPM,14117000.0
148.60000610351562,2022-01-31,148.7899932861328,144.6699981689453,145.63999938964844,JPM,13985700.0
151.14999389648438,2022-02-01,151.47000122070312,148.3000030517578,148.69000244140625,JPM,14584900.0
149.94000244140625,2022-02-02,150.94000244140625,148.07000732421875,150.5,JPM,12441100.0
148.6999969482422,2022-02-03,151.64999389648438,148.2899932861328,150.0,JPM,12474900.0
152.55999755859375,2022-02-04,153.5,148.77000427246094,149.10000610351562,JPM,16654400.0
153.07000732421875,2022-02-07,153.6199951171875,150.85000610351562,153.27000427246094,JPM,12572300.0
155.9499969482422,2022-02-08,158.47999572753906,154.8000030517578,155.0,JPM,20411400.0
156.60000610351562,2022-02-09,157.42999267578125,155.82000732421875,156.58999633789062,JPM,9131100.0
155.9499969482422,2022-02-10,159.02999877929688,155.22000122070312,156.66000366210938,JPM,16455600.0
